ID,LATITUDE,LONGITUDE,DATUM,NETWORK_ST,STATION_NA,METHOD,VS30__M_S_,MAX_DEPTH,CONTACT,REFERENCE,URL,GEOLOGIC_D,COMMENTS,IP2007,Junko2018
SKA.685,49.083162,-122.985571,WGS84?,NA,104249VD,P-Wave_refr,111.6,3946.57,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,Measured,16,11
TH.1111,46.383911,-96.872063,WGS84,NA,RCD050,SCPT,112,19.8,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,16,12
SKA.333,47.97792,-122.16098,WGS84?,NA,Ebey_Slough_2,Unknown,112.7,42.4,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,15,8
DB.182,37.546141,-122.232091,WGS84,NA,Apeel #1,Downhole,113,185,David M. Boore,"Boore, D. M. (2003), A compendium of P- and S-wave velocities from surface- to-borehole logging: Summary and reanalysis of previously published data and analysis of unpublished data, U.S. Geological Survey Open-File Report 2003-191, 13 p.",http://www.daveboore.com/data_online.html,NA,Original coordinates were in NAD27; converted to WGS84 using ArcGIS.,16,11
DB.313,37.543831,-122.236091,WGS84,NA,KGEI,Downhole,114.9,28.8,David M. Boore,"Boore, D. M. (2003), A compendium of P- and S-wave velocities from surface- to-borehole logging: Summary and reanalysis of previously published data and analysis of unpublished data, U.S. Geological Survey Open-File Report 2003-191, 13 p.",http://www.daveboore.com/data_online.html,NA,Original coordinates were in NAD27; converted to WGS84 using ArcGIS.,16,11
TH.1109,46.38369,-96.915237,WGS84,NA,RCD048,SCPT,115,18.5,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,16,12
SKA.582,45.496795,-123.848492,WGS84?,NA,TC33,SH-Wave_refr,115.8,11,Ian_Madin;Bill_Burns,MadinAndBurns2013_(DOGAMI_O-13-06),http://www.oregongeology.org/pubs/ofr/p-O-13-06.htm,http://www.oregongeology.org/pubs/dds/p-OGDC-6.htm,DEA13,7,3a
TH.39,37.85009,-122.29574,WGS84,NA,ALC039,SCPT,116,24.8,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,9
TH.21,37.7592,-122.23691,WGS84,NA,ALC021,SCPT,118,15,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,15,8
TH.25,37.7723,-122.29552,WGS84,NA,ALC025,SCPT,118,16,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,8
SKA.589,45.471039,-123.851576,WGS84?,NA,Tillam3,SH-Wave_refr,118.4,20,Ian_Madin;Bill_Burns,MadinAndBurns2013_(DOGAMI_O-13-06),http://www.oregongeology.org/pubs/ofr/p-O-13-06.htm,http://www.oregongeology.org/pubs/dds/p-OGDC-6.htm,DEA13,15,10
TH.1224,35.590641,-90.11631,WGS84,NA,MSC055,SCPT,119,20.4,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,16,12
SKA.566,45.501629,-123.852122,WGS84?,NA,TC15,SH-Wave_refr,119.5,12,Ian_Madin;Bill_Burns,MadinAndBurns2013_(DOGAMI_O-13-06),http://www.oregongeology.org/pubs/ofr/p-O-13-06.htm,http://www.oregongeology.org/pubs/dds/p-OGDC-6.htm,DEA13,7,10
TH.26,37.76818,-122.27168,WGS84,NA,ALC026,SCPT,120,24,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,15,8
TH.1108,46.38369,-96.93589,WGS84,NA,RCD047,SCPT,120,20.6,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,16,12
SKA.844,49.148523,-123.170262,WGS84?,NA,SCP95-21,SCPT,120.1,32.9,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,Measured,16,11
SKA.588,45.435458,-123.84354,WGS84?,NA,Tillam2,SH-Wave_refr,121.4,20,Ian_Madin;Bill_Burns,MadinAndBurns2013_(DOGAMI_O-13-06),http://www.oregongeology.org/pubs/ofr/p-O-13-06.htm,http://www.oregongeology.org/pubs/dds/p-OGDC-6.htm,DEA13,11,10
TH.1110,46.383709,-96.896301,WGS84,NA,RCD049,SCPT,122,20,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,16,12
TH.18,37.78174,-122.32507,WGS84,NA,ALC018,SCPT,123,18,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,8
TH.1107,46.383831,-96.956612,WGS84,NA,RCD045,SCPT,123,19.5,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,16,12
SKA.856,49.113094,-123.072576,WGS84?,NA,SCPM93-6,SCPT,123.9,27.55,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,DEA13,18,11
SKA.161,46.1671,-123.01676,WGS84?,NA,Roy Morse Park,SH-Wave_refr,124.2,35,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,15,8
TH.1249,35.211399,-90.280724,WGS84,NA,CNC013,SCPT,125,30.4,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,16,11
TH.1610,37.55577,-122.24774,WGS84,NA,SMC009,SCPT,126,37.9,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,11
SKA.585,45.430188,-123.84559,WGS84?,NA,TC36,SH-Wave_refr,126.3,14,Ian_Madin;Bill_Burns,MadinAndBurns2013_(DOGAMI_O-13-06),http://www.oregongeology.org/pubs/ofr/p-O-13-06.htm,http://www.oregongeology.org/pubs/dds/p-OGDC-6.htm,DEA13,7,3a
DB.135,37.55574,-122.247791,WGS84,NA,Beach Park Blvd (dh+sc),Downhole,126.4,90,David M. Boore,"Boore, D. M. (2003), A compendium of P- and S-wave velocities from surface- to-borehole logging: Summary and reanalysis of previously published data and analysis of unpublished data, U.S. Geological Survey Open-File Report 2003-191, 13 p.",http://www.daveboore.com/data_online.html,NA,Original coordinates were in NAD27; converted to WGS84 using ArcGIS.,18,11
TH.65,37.83752,-122.29881,WGS84,NA,ALC065,SCPT,130,15.9,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,8
TH.91,37.791698,-122.264,WGS84,NA,OAK006,SCPT,130,43.4,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,15,9
DB.190,37.56772,-122.258591,WGS84,NA,Audubon School,Downhole,130.6,27.5,David M. Boore,"Boore, D. M. (2003), A compendium of P- and S-wave velocities from surface- to-borehole logging: Summary and reanalysis of previously published data and analysis of unpublished data, U.S. Geological Survey Open-File Report 2003-191, 13 p.",http://www.daveboore.com/data_online.html,NA,Original coordinates were in NAD27; converted to WGS84 using ArcGIS.,18,10
SKA.7,47.58377,-122.3501,WGS84?,USGSH,HART,MASW; MAM; P-Wave_refr,130.7,46,Ray_Cakir,CakirAndWalsh2010,http://www.dnr.wa.gov/Publications/ger_misc_20_strong_motion_sites.pdf,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,18,8
DB.170,37.528551,-122.253591,WGS84,NA,Bridgeway Park,Downhole,130.7,29.6,David M. Boore,"Boore, D. M. (2003), A compendium of P- and S-wave velocities from surface- to-borehole logging: Summary and reanalysis of previously published data and analysis of unpublished data, U.S. Geological Survey Open-File Report 2003-191, 13 p.",http://www.daveboore.com/data_online.html,NA,Original coordinates were in NAD27; converted to WGS84 using ArcGIS.,16,11
SKA.252,47.596,-122.333,WGS84?,NA,King Dome West (KD5) (S24),SCPT,130.8,17.7,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,DEA13,7,8
TH.36,37.87108,-122.30579,WGS84,NA,ALC036,SCPT,131,25.8,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,9
SKA.556,45.46128,-123.871785,WGS84?,NA,TC05,SH-Wave_refr,131.1,29,Ian_Madin;Bill_Burns,MadinAndBurns2013_(DOGAMI_O-13-06),http://www.oregongeology.org/pubs/ofr/p-O-13-06.htm,http://www.oregongeology.org/pubs/dds/p-OGDC-6.htm,DEA13,7,10
SKA.837,49.148664,-123.195083,WGS84?,NA,SCP94-14,SCPT,132.9,56.4,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,Measured,18,11
TH.43,37.86347,-122.30433,WGS84,NA,ALC043,SCPT,133,26,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,9
DB.127,37.528691,-122.256511,WGS84,NA,Apeel #2 (Portside Park),Downhole,133.1,70,David M. Boore,"Boore, D. M. (2003), A compendium of P- and S-wave velocities from surface- to-borehole logging: Summary and reanalysis of previously published data and analysis of unpublished data, U.S. Geological Survey Open-File Report 2003-191, 13 p.",http://www.daveboore.com/data_online.html,NA,Original coordinates were in NAD27; converted to WGS84 using ArcGIS.,16,10
SKA.889,49.090326,-122.911603,WGS84?,NA,SCPT93-8,SCPT,133.2,32.1,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,Measured,13,11
SKA.303,47.571,-122.352,WGS84?,NA,West Seattle Freeway (S42c),DH_CH,133.9,48.5,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,18,3a
TH.8,37.7506,-122.23708,WGS84,NA,ALC008,SCPT,134,30.5,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,8
IW.16,19.7222,-155.0974,NA,NA,"USDA Laboratory, Hilo",SASW,134,35,Ivan G. Wong,"Wong, I. G., Stokoe II, K. H., Cox, B. R., Yuan, J., Knudsen, K. L., Terra, F., Okubo, P., and Lin, Y., (2011), Shear-wave velocity characterization of the USGS Hawaiian strong-motion network on the island of Hawaii and development of an NEHRP site-class",http://nees.org/dataview/spreadsheet/sasw,NA,NA,18,9
TH.1098,46.47068,-96.94194,WGS84,NA,RCD018,SCPT,134,20.7,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,12,11
TH.30,37.74366,-122.25912,WGS84,NA,ALC030,SCPT,135,16.5,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,8
TH.1096,46.470829,-96.918327,WGS84,NA,RCD016,SCPT,135,22.5,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,16,11
SKA.229,47.619,-122.359,WGS84?,NA,"Denny Way/Lake Union CSO, Elliott West Outfall (S12)",SCPT,136.2,76.2,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,18,6
TH.40,37.85328,-122.2994,WGS84,NA,ALC040,SCPT,139,27,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,9
TH.1205,35.379581,-90.231728,WGS84,NA,CNC030,SCPT,139,21.7,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,16,11
TH.1106,46.383591,-96.983673,WGS84,NA,RCD044,SCPT,139,19.5,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,16,12
SKA.249,47.595,-122.333,WGS84?,UW,King Dome East (KD6) (S25b),SCPT,140.4,13.1,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,DEA13,7,8
SKA.354,46.153049,-123.887685,WGS84?,NA,Ast03,SH-Wave_refr,140.5,11,Ian_Madin;Bill_Burns,MadinAndBurns2013_(DOGAMI_O-13-06),http://www.oregongeology.org/pubs/ofr/p-O-13-06.htm,http://www.oregongeology.org/pubs/dds/p-OGDC-6.htm,DEA13,7,8
SKA.797,49.175938,-123.114788,WGS84?,NA,FD94-4,PS_Susp_Log,141.7,296,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,Measured,16,11
SKA.284,47.572,-122.338,WGS84?,NA,Spokane St. Viaduct (S11c),Unknown,142.5,30.5,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,18,8
DB.328,37.507142,-122.137128,WGS84,NA,Ravenswood Pt. I,Downhole,142.7,16,David M. Boore,"Boore, D. M. (2003), A compendium of P- and S-wave velocities from surface- to-borehole logging: Summary and reanalysis of previously published data and analysis of unpublished data, U.S. Geological Survey Open-File Report 2003-191, 13 p.",http://www.daveboore.com/data_online.html,NA,Original coordinates were in NAD27; converted to WGS84 using ArcGIS.,18,11
TH.37,37.86127,-122.30169,WGS84,NA,ALC037,SCPT,143,26.7,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,9
TH.42,37.8776,-122.30942,WGS84,NA,ALC042,SCPT,143,25.8,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,9
TH.1104,46.383511,-97.009567,WGS84,NA,RCD042,SCPT,144,20.8,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,16,12
SKA.239,47.584,-122.349,WGS84?,NA,Harbor Island (HAR) (S16),P-Wave_refr; SH-Wave_refr,145,29.9,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,DEA13,18,8
SKA.353,46.155266,-123.825397,WGS84?,NA,Ast02,SH-Wave_refr,145,8,Ian_Madin;Bill_Burns,MadinAndBurns2013_(DOGAMI_O-13-06),http://www.oregongeology.org/pubs/ofr/p-O-13-06.htm,http://www.oregongeology.org/pubs/dds/p-OGDC-6.htm,DEA13,11,8
TH.33,37.86362,-122.31409,WGS84,NA,ALC033,SCPT,145,26.5,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,9
SKA.553,45.472648,-123.792574,WGS84?,NA,TC02,SH-Wave_refr,145.2,49,Ian_Madin;Bill_Burns,MadinAndBurns2013_(DOGAMI_O-13-06),http://www.oregongeology.org/pubs/ofr/p-O-13-06.htm,http://www.oregongeology.org/pubs/dds/p-OGDC-6.htm,Measured,7,8
SKA.302,47.571,-122.352,WGS84?,NA,West Seattle Freeway (S42b),DH_CH,145.8,67.1,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,18,3a
SKA.781,49.155499,-123.196125,WGS84?,NA,FD88-1,PS_Susp_Log,145.8,58,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,Measured,18,11
TH.35,37.86634,-122.30654,WGS84,NA,ALC035,SCPT,146,30.6,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,18,9
TH.1097,46.470669,-96.929817,WGS84,NA,RCD017,SCPT,146,20.7,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,12,11
SKA.242,47.759,-122.183,WGS84?,NA,I-405/SR 522 IC Woodinville (S46),DH_CH,146.2,183.2,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,5,8
SKA.904,49.097555,-123.012965,WGS84?,NA,SCPT95-6,SCPT,146.4,36.9,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,Measured,16,11
SKA.268,47.566,-122.33,WGS84?,NA,Public Schools Administration (PS1) (S30),P-Wave_refr; SH-Wave_refr,146.9,29.9,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,DEA13,3,8
TH.1194,34.735619,-90.448799,WGS84,NA,TNA031,SCPT,147,20.5,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,13,6
TH.31,37.75501,-122.22723,WGS84,NA,ALC031,SCPT,148,22,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,15,8
TH.1094,46.470798,-96.973892,WGS84,NA,RCD001,SCPT,148,20,Thomas L. Holzer,NA,http://earthquake.usgs.gov/research/cpt/data/,NA,NA,16,11
SKA.786,49.051432,-123.123181,WGS84?,NA,FD92-11,PS_Susp_Log,148.9,98,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,Measured,18,11
SKA.297,47.584,-122.33,WGS84?,NA,Vehicle Maintenance Facility (VMF) (S39),P-Wave_refr; SH-Wave_refr,149.2,25.9,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,DEA13,18,8
SKA.855,49.14126,-123.055615,WGS84?,NA,SCP95-32,SCPT,150.1,34.75,Jim_Hunter,HunterEA1998_(GSC_OF3622),http://geoscan.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/fulle.web&search1=R=298718,http://geoscan.ess.nrcan.gc.ca/cgi-bin/starfinder/0?path=geoscan.fl&id=fastlink&pass=&search=R%3D194084&format=FLFULL,Measured,16,11
RW.7,37.3335,-122.148,WGS84,NA,FOS,Refraction-Reflection,151,NA,"USGS Golden: J. Odum, W. Stephenson, R. Williams",NA,NA,http://ngmdb.usgs.gov/Prodesc/proddesc_83440.htm,There is a fault zone to the Southwest.,3,1b
SKA.568,45.574676,-123.872498,WGS84?,NA,TC17,SH-Wave_refr,151,10,Ian_Madin;Bill_Burns,MadinAndBurns2013_(DOGAMI_O-13-06),http://www.oregongeology.org/pubs/ofr/p-O-13-06.htm,http://www.oregongeology.org/pubs/dds/p-OGDC-6.htm,DEA13,3,3a
UGS.176,40.784144,-111.931106,WGS84,NA,"Riverside Park, 1400 West 700 North",Surface wave dispersion (R-waves),151,40,Chris Pankow,"McDonald, G.N., and F. X. Ashland (2008), Earthquake site conditions in the Wasatch Front urban corridor, Utah: Utah Geological Survey Special Study 125, 1 pl. scale 1:50,000, 41 p., CD.",http://geology.utah.gov/ghp/consultants/geophysical_data/shear-wave_velocity.htm,"Schuster, G.T., and Y. Sun (1993), Surface wave inversion of near surface shear velocities in Salt Lake Valley: unpublished Final Technical Report to the U.S. Geological Survey, NEHRP contract no. 1434-92-G-2175, 31 p.",Original coordinates in UTM Zone 12 NAD27.,16,11
SKA.204,47.589,-122.338,WGS84?,NA,Alaskan Way Viaduct (S2c),SCPT,151.2,15.2,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,DEA13,18,8
SKA.225,47.53,-122.302,WGS84?,NA,Boeing Field Control (S64),DH_CH,151.5,64,Ray_Cakir,BilderbackEA2008_(WA-DNR_08-2),http://www.dnr.wa.gov/Publications/ger_ofr2008-2_shear_wave_database.zip,http://www.dnr.wa.gov/publications/ger_portal_surface_geology_24k.zip; http://www.dnr.wa.gov/publications/ger_portal_surface_geology_100k.zip,Measured,7,8
